Chinese,English 
长安区,Chang'an District
视频为直播时需要添加上,"When the video is live, it needs to be added"
来单独控制这一行的高度,to individually control the height of the row
轮询时间间隔,polling interval
中做调整,make adjustments
会导致初始化和点击无效,will result in invalid initialization and clicking
当配置成,When configured as
根据唯一,According to unique
的返回结果和,The return result of and
可以根据数据动态添加,Can be added dynamically based on data
来实现,to fulfill
门槛也越来越高,The threshold is getting higher and higher
定义页面,define page
以上是普通渲染器的注册方式,The above is the registration method of a common renderer
员工基本信息,Employee basic information
支持数据源配置的一些属性名,Some property names that support data source configuration
状态标识,status flag
组件触发,component trigger
富阳区,Fuyang District
右侧,Right
目前只实现了百度地图和高德地图,"At present, only Baidu map and Gaode map are implemented"
轮播间隔时间,Rotation interval
事件会覆盖,event will override
配置子表单项默认的展示方式,Configure the default display method of sub-form items
选择消息后,After selecting a message
用于表格类型的展现效果,Display effect for table type
用于之后,used later
自动聚焦,auto focus
则返回优秀,return excellent
默认情况下表单提交返回结果会写入当前表单的数据域,"By default, the return result of form submission will be written into the data field of the current form"
因此只能通过,Therefore only through
如果,if
选项文本对应的字段,The field corresponding to the option text
屏东市,Pingtung City
西塞山区,Xisai Mountains
第一遍是检查基础类型的基础类型,The first pass is to check the underlying type of the underlying type
数据格式为对象,The data format is object
加粗,bold
上传图片小于,Upload pictures smaller than
停止寻找过程,stop the search
给选中态,give selected state
后续单独处理,Subsequent processing separately
从接口返回数据适配到配置,Returning data from the interface is adapted to the configuration
里面的表单初始化的时候才初始化,It is initialized when the form inside is initialized
版本现在都废弃了,Versions are now obsolete
背景图,background image
下拉菜单项类名,Dropdown menu item class name
注意不要和,Be careful not to
先通过一下命令设置版本号,First set the version number through the command
不属于,Does not belong
支持选择范围,Support selection range
的默认值,default value of
开启高亮显示,Turn on highlighting
极差,extremely bad
如果上个字符是转义也不是取值用法,If the last character is an escape or not a value usage
预期是,expected to be
会转化为,would convert to
获取历史搜索配置,Get historical search configuration
数据默认为源组件所在数据域,The data defaults to the data field where the source component is located
如果不需要可以使用,If not needed you can use
内置字体标,built-in font
表单项时,form item
返回为主,return to main
优先级高于激活的选项卡,Takes precedence over active tabs
新港乡,Xingang Township
郸城县,Dancheng County
下发到组件已经是最终的选项了,Sending to components is the final option
当尝试修改列宽度时或者列中设置了,When trying to modify the column width or the column is set
格式校验并自动生成列配置,Format validation and automatic generation of column configuration
添加一组,add a group
和其它表单项一样,Same as other form items
配置弹框内容,Configure popup content
触发表单清空,Trigger the form to clear
请配置这个,Please configure this
广昌县,Guangchang County
不设置背景,no background
号,Number
缩短列,shorten column
来预览,to preview
注意箭头函数只支持单表达式用法,Note that arrow functions only support single-expression usage
如图所示,as the picture shows
间隔,interval
在文档中的位置,position in the document
尝试在,try at
类型是否可被修改,Whether the type can be modified
惠州市,Huizhou
的边框线宽,The border line width of
兼容原,Compatibility
是否派发变动消息,Whether to send change messages
表单项类型,form item type
优化这个,optimize this
调整展示模式,Adjust display mode
当用户鼠标悬停或者点击容器时,When the user hovers over or clicks on the container
大方县,Dafang County
会获取每一项中的,will get each of the
否则啥都不显示,Otherwise nothing is displayed
来选择其他选项,to select other options
展开工具栏,Expand toolbar
阜阳市,Fuyang City
属性将失效并无法渲染,Attributes will be invalidated and will not render
平阳县,Pingyang County
当为,as
停止后续监听器执行,Stop subsequent listener execution
如果想扩展其他语言,If you want to extend other languages
鼠标移动到选项卡标题时弹出提示,Prompt pops up when the mouse moves over the tab title
关闭时显示的内容,What to display when closed
的时候才可以看得到我哦,Only then can you see me
目前在文档右侧就有显示,Currently displayed on the right side of the document
双辽市,Shuangliao
这里简化了很多,This simplifies a lot
确认要删除吗,Are you sure you want to delete
数据只会在初始的时候拉取,Data will only be pulled initially
是否开启调试模式,Whether to enable debug mode
点击提交按钮,Click the submit button
因为有些场景就是临时添加的,Because some scenes are added temporarily
配置方式与普通接口一致,The configuration method is consistent with the common interface
这往往并不理想,this is often not ideal
支持横排和竖排,Support horizontal and vertical
即隐藏域,the hidden field
文件大小不超过,The file size should not exceed
导航横向布局时,When navigating a landscape layout
请选择字体,Please select font
列上的全选,select all on column
选中任意日期,select any date
行上的全选,select all on line
支持了一种新的语法如,supports a new syntax such as
因此需要将配置的,"Therefore, the configured"
操作完后刷新目标对象,Refresh the target object after the operation
当操作对象是单条数据时这类操作叫单条操作,"When the operation object is a single piece of data, this type of operation is called a single operation"
触发抽屉取消操作,Trigger drawer cancel action
乌苏市,Wusu City
的校验事件,verification event
重新加载的组件名称,The reloaded component name
所有组件都会生效,All components will take effect
对齐模式,alignment mode
校验字段,check field
警告在鼠标移上去后的颜色,The color of the warning on mouseover
因为支持相对值,Because relative values are supported
自定义组件的查询关键字,Query keywords for custom components
编码值,encoded value
在表单项内部可以通过,Inside the form item you can pass
向上取,take up
不了解的开发者,developers who don't know
没有映射上的,not mapped on
我们配置了,we configured
如果项目未设置高度或设为,If the item doesn't have a height set or is set to
如何区分究竟是哪个事件,How to distinguish which event
代码开发的混合模式,Hybrid models for code development
如果不需要分页,If pagination is not required
这些没有时间的选择点第一次后第二次就是选结束时间,The second selection point after the first time of these selection points without time is the selection end time
会报错,will report an error
树下拉,tree drop
选项选择后需要重置下拉数据源,The dropdown data source needs to be reset after option selection
隐藏内容一,Hidden content one
重复一份,repeat
选项联动,option linkage
动作表,action sheet
重置数据源,reset data source
跳转到哪,where to jump
放到原来的位置,put it in its original position
汉台区,Hantai District
组件的页面,component's page
查看下面例子,Check out the example below
默认表单是可以获取到完整数据链中的数据的,The default form can obtain the data in the complete data chain
则事件表就是这个组件对应的事件表,The event table is the event table corresponding to this component
时间早于目标时间,Time is earlier than target time
数值变化,Numerical change
弹一个框,pop a box
当有复杂表单的时候直接抛出去让外层能统一处理,"When there is a complex form, throw it directly so that the outer layer can handle it uniformly"
图片加载失败后,After the image failed to load
请选择位置,Please select a location
请从左侧组件面板中点击添加子表单项,Please click Add Subform Item from the components panel on the left
开始之前请先阅读,Please read before starting
这几个属性设置,These properties are set
文字提示,Text Prompt
大城县,Dacheng County
发送适配器暴露以下参数以供用户进行操作,The send adapter exposes the following parameters for user manipulation
再去找,look again
选项无法与左侧选项对应,Option cannot correspond to left option
新城乡,Xincheng and Rural
可能是多个,may be multiple
就不合适,inappropriate
设置数字的单位选项,Set unit options for numbers
适合让用户自己拼查询条件,It is suitable for users to spell out query conditions by themselves
暂无说明,No description yet
如果是用,If it is used
静音,Mute
指定为折叠器类型,specified as a folder type
图标父级标签的自定义,Customization of icon parent label
返回传入文本左侧的指定长度字符串,Returns a string of the specified length to the left of the incoming text
匿名抄送邮箱,anonymous cc email
内容如下,The content is as follows
武冈市,Wugang City
初始化时是否打开裁剪模式,Whether to enable cropping mode when initializing
渝中区,Yuzhong District
选项卡,Tab
兼容之前的,Compatible with previous
梅列区,Melie District
其它原生,other native
移除全局,remove global
在表单编辑中,in form edit
用来控制边栏固定与否,Used to control whether the sidebar is fixed or not
在组件内拿到的将是解析后的值,What you get in the component will be the parsed value
布局容器,layout container
来控制背景及文字颜色,to control the background and text color
东方市,Dongfang City
评分,score
模式示例,pattern example
用于避免循环绑定自身导致无限渲染,Used to avoid loop binding itself causing infinite renders
编辑的选项信息,edit option information
顶层数据域的值,The value of the top-level data field
不完全一致,not exactly the same
视图同步也需要时间啊,View synchronization also takes time.
请选择时间,Please select a time
列类名,column class name
通知到外面,notice to the outside
值格式会不一样,The value format will be different
了解,learn
图片相对于容器的缩放方式,How the image is scaled relative to the container
实际控制,actual control
参数名称,parameter name
隆化县,Longhua County
里面也是个,inside is also a
如果想像文本输入框一样,If you want to be like a text input box
开启预览模式,Enable preview mode
页信息的显示格式,Display format of page information
点击清空指定日期组件的具体时间,Click to clear the specific time of the specified date component
暂时不知如何处理,I don't know how to deal with it
粗,thick
所以即便是在,so even in
根据此项设置其每页加载数量,Set its per page load amount based on this
属性值,attribute value
滨海县,Binhai County
设置初始状态,set initial state
指定为组合输入框类型,Specify as combo input box type
只处理懒加载节点,Only handle lazy loaded nodes
用于实现多选,for multiple selection
数据集中第,Data set No.
在表单验证成功之后才会触发,Will only be triggered after the form validation is successful
不过这里不支持函数,"However, the function is not supported here"
图片加载失败的是否默认处理,Whether to handle image loading failure by default
设置,set up
拉取到的数据,Pulled data
不同组件交互会有不同,Different components interact differently
设置月份选择器的默认值,Set the default value for the month picker
去编辑,to edit
保存顺序失败提示,Failed to save order
请选择月份范围,Please select a range of months
模拟返回的值,The value returned by the mock
所以名字,so the name
康巴什区,Kangbashi District
城市编码,city code
渲染,rendering
阜沙镇,Fusha Town
宝清县,Baoqing County
移动到哪个节点前面,which node to move to
因为水平方向一共,Because the horizontal direction total
注意这种方法不支持,Note that this method does not support
解析出单位,parse out the unit
是否可以多选数据,Is it possible to select multiple data
要显示秒请参考以下配置,To display seconds please refer to the following configuration
来点间隔,some space
被什么东西篡改了,tampered with by something
否则删除无效,Otherwise delete invalid
共用,to share
石棉县,Shimian County
如果你的数据值默认不是,If your data value is not by default
新郑市,Xinzheng
校验表单数据,Validate form data
青州市,Qingzhou
永州市,Yongzhou
的值与环境中,value and the environment
喜德县,Xide County
要处理的数组,the array to process
虚拟,virtual
等,wait
行单击数据,row click data
可以控制头像的大小,You can control the size of the avatar
内容自适应,content adaptive
右侧距离值类型,Right distance value type
舒兰市,Shulan City
让后端返回,let the backend return
结合响应式设计一起,Combine Responsive Design Together
可以浏览器中断点调试,Debugging with browser breakpoints
镇海区,Zhenhai District
的一种特例,a special case of
和图片的,and pictures of
跳过第一个,skip the first
崇信县,Chongxin County
及之后版本,and later
三原县,Sanyuan County
选择器组件的选项组,The options group for the selector component
并且与编辑器建立连接,And establish a connection with the editor
代码来源于,The code comes from
子表单单条,Subform single entry
表单校验接口,Form validation interface
指定每页可以显示多少条,Specifies how many items can be displayed per page
北关区,Beiguan District
选项卡切换时触发,Triggered when the tab is switched
输入框组合,input box combination
更多细节参考,For more details refer to
警告类标题,warning title
是否显示阈值数值,Whether to display the threshold value
你也可以是其它,you can be other
的值,the value of
可配置各个进度段用不同的颜色展示,Each progress segment can be configured to display in different colors
周,week
来制作页面,to make the page
没有则表示用户不能自定义配置,"If not, it means that the user cannot customize the configuration"
放大预览的描述,Description of magnified preview
项目源码,Project source code
实现深层结构编辑,Implement deep structure editing
请参看,Please see
肇庆市,Zhaoqing
调用错误,call error
来避免,to avoid
最好的方式就是为当前组件配置初始化接口,The best way is to configure the initialization interface for the current component
点击行记录,click row record
有变化就执行,Execute when there is a change
乾县,dry county
对于带,for belt
找到顶端,find the top
可配置是否增加和删除初始设定的模板,It is configurable whether to add and delete the initial template
不想支持,do not want to support
找到最底层,find the bottom
内的,inside
小金县,Xiaojin County
颜色选择,Selection of color
能知道是哪个组件的哪个区域,Can know which area of which component
水平布局可以考虑用,Horizontal layout can be considered with
位置固定,fixed position
邮箱,Mail
采购时间,purchase time
标签名称,label name
分组展示模式,Group display mode
栖霞市,Qixia City
查找父数据域,Find parent data field
模态抽屉,Modal drawer
崇义县,Chongyi County
选中值的数组,array of selected values
普通的标签,normal label
正常尺寸,normal size
目标,Target
通过表单项校验接口,Validation interface through form items
挂载点,mount point
普洱市,Pu'er City
步骤切换,step switching
大概是,Probably
然后配置按钮,Then configure the button
关闭拖拽,turn off drag
如我们配置,As we configure
面板配置,panel configuration
如果想强制附加请设置这个属性,"If you want to force the attachment, please set this property"
各种展示模式,Various display modes
操作完后跳转,Jump after operation
表单提交后会将返回结果合并到当前表单数据域,"After the form is submitted, the returned result will be merged into the current form data field"
渲染的时候会列出来这些帧,These frames will be listed when rendering
因为不确定,because of uncertainty
要求必须,require must
来为表格顶部或底部添加总结行,to add a summary row to the top or bottom of the table
的第一项中,in the first item of
石家庄市市辖区,Shijiazhuang Municipal District
编辑能力,Editing ability
先删掉,delete first
代表除了最后一个元素的所有元素,Represents all elements except the last element
不能覆盖,cannot cover
鲁山县,Lushan County
的数据可以编辑,data can be edited
如果要在组件当前层级添加,If you want to add at the current level of the component
当前聚焦,current focus
可以用来根据数据控制自动分配色阶,Can be used to control automatic assignment of color scales based on data
配置是否固定当前列,Configure whether to fix the current column
如果想去掉这个功能,If you want to remove this function
不会同时输出多条校验错误消息,Will not output multiple validation error messages at the same time
设计器内容区中忽略,Ignored in the designer content area
来从上下文来获取数据,to fetch data from the context
使用新版插入组件面板,Use the new Insert Components panel
则删除前会发送一个,"before deleting, a"
限制标签最大展示数量,Limit the maximum number of labels displayed
任意,arbitrarily
再次读取,read again
联动配置项一般都是,Linkage configuration items are generally
找到准确的,find the exact
是日,is the day
配置面板结构统一,Unified configuration panel structure
点击使指定输入框聚焦,Click to focus the specified input box
默认是否显示,Whether to display by default
切换选项卡时触发,Triggered when switching tabs
召陵区,Zhaoling District
可以尝试通过,You can try to pass
它的返回内容和,its return content and
上下文公式变量,contextual formula variable
金溪县,Jinxi County
应为冒号,should be colon
子按钮,sub button
就都,Just all
来控制表单显示几列,To control how many columns the form displays
这是模板内容当前时间,This is the template content current time
指定小数点后,After the specified decimal point
监听点击事件,Listen for click events
居中显示,center display
第一条,Article 1
大部分组件都是直接继承,Most components are directly inherited from
徐水区,Xushui District
济源市,Jiyuan City
控制列宽,control column width
内部单组表单项的类名,The class name of the inner single group of form items
展示单个卡片,Show a single card
孝南区,Xiaonan District
递归删除树多余的节点,Recursively remove redundant nodes from the tree
页面配置接口,page configuration interface
的结果返回,The result returns
设计的得不合理的地方做一些适配,Make some adaptations where the design is unreasonable
张北县,Zhangbei County
缩略图地址,Thumbnail address
需补充成员条件,Membership conditions need to be supplemented
组件行为,Component behavior
隐藏就行,just hide
咸安区,Ham'an District
建瓯市,Jian'ou City
单页跳转,Single page jump
也无法在可视化编辑器里编辑,Can't edit in visual editor either
所以其它格式直接输出,So other formats output directly
插件事件集,plugin event set
会昌县,Huichang County
开启全选后,After enabling select all
澳门半岛,Macau Peninsula
默认会在顶部和底部渲染一些组件,By default some components will be rendered at the top and bottom
属性列表,property list
需要注意如果,Note that if
结果文本,result text
可排序,sortable
将展示所有行的图片信息,The image information of all rows will be displayed
是否高亮,Whether to highlight
来自定义按钮,from custom button
错误信息,error message
并且字段的类型是什么,and what is the type of the field
二维码值,QR code value
元谋县,Yuanmou County
如果是分页动作,If pagination action
图片偏移量,image offset
中原区,Zhongyuan District
功能需要用,Function needs to use
是否有下一个的表达式,is there an expression for the next
内置了跟踪用户交互行为采集功能,Built-in tracking user interaction behavior collection function
外部可以直接调用,External can be called directly
是否支持新增,Whether to support new
沅陵县,Yuanling County
恭城瑶族自治县,Gongcheng Yao Autonomous County
这是一个很长长长长长长长长长长长长长的标签,It's a long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long
根据组件,according to components
裕华区,Yuhua District
选中节点的值,The value of the selected node
模式有用,pattern useful
来在展现上更紧凑,to be more compact in presentation
这里可以设置条件分支来给不同的成员设置不同的表单项,Here you can set conditional branches to set different form items for different members
未找到任何结果,no results found
然后插件中加入以下代码即可完成拖拽调整宽高,Then add the following code to the plugin to complete the drag and drop adjustment of width and height
直播已经结束,The live broadcast has ended
湘东区,Xiangdong District
翻译未生效,translation not valid
这是个自定义,this is a custom
点击取消则不会提示,"If you click cancel, you will not be prompted"
响应外部修改,Respond to external modifications
成华区,Chenghua District
有分组的情况下显示分列的复选框,Show columnar checkbox when there is grouping
点击其他内容时是否关闭弹框信息,Whether to close the pop-up box information when clicking other content
无法渲染,unable to render
是否是默认,Is it the default
处理颜色相关的函数,Handle color-related functions
这些在,these are in
用于水平布局,for horizontal layout
很像,very much like
有重复值就不触发修改,Do not trigger modification if there are duplicate values
并且发送的参数是否可以携带,And whether the parameters sent can be carried
按钮修改,button modification
显示多字段请使用自定义显示模板,"To display multiple fields, please use a custom display template"
描述信息输入框占位文本,Description input box placeholder text
来定义左侧,to define the left
的类型自动识别不出来,The type cannot be recognized automatically
这是一个日程,this is an agenda
比如行数据中有,"For example, the row data has"
下面是目前所支持函数的使用手册,The following is the manual for the currently supported functions
无法清空,cannot be cleared
一级标题,first level title
唯一的区别在于会默认会有一层内边距,The only difference is that there will be a layer of padding by default
计算字符串,computed string
是一个路径,is a path
免得重复刷新,so as not to refresh repeatedly
自动加,Automatically add
为判断条件,as the judgment condition
茄子河区,Eggplant River District
崇明区,Chongming District
动态控制内容,dynamically control content
双击编辑,Double click to edit
大宁县,Daning County
限制选择器类组件的展示数量,Limit the number of impressions of the selector class component
酒泉市市辖区,District of Jiuquan City
提交后每次修改即触发,Triggered every time a modification is made
所以可以执行任意,So you can execute any
请输入变量值,Please enter variable value
永春县,Yongchun County
用电量,energy used
则向上寻找,look up
容器偏向表单项,container biased form item
使用代码高亮的方式来显示一段代码,Use code highlighting to display a piece of code
您吃了吗,have you eaten
结束日期时间,end date time
居中展示等布局,Center display and other layouts
动作配置项名称,Action configuration item name
且变量的值发生了变化了,and the value of the variable has changed
后面的部分直接显示某串字符,The following part directly displays a string of characters
是否隐藏展开的图标,Whether to hide the expanded icon
它有两个值,it has two values
是否完全替换默认,Whether to completely replace the default
多字段合并请通过模板配置,"For multi-field merging, please configure it through the template"
望奎县,Wangkui County
二道区,Erdao District
需要自己编译一个,need to compile a
下面这个例子,The following example
目录里就能找到,can be found in the directory
上运行就会报错,It will report an error when running
然后参考后面的示例注册新语言,Then refer to the following example to register a new language
时只能选择颜色,Only color can be selected when
溪湖镇,Xihu Town
图片缩率图,Picture thumbnail
也可以多个页面,Multiple pages are also possible
所以先,so first
首先组件需要支持宽高设置,"First, the component needs to support width and height settings"
行是否可展开表达式,Whether the line is expandable expression
只会携带此数据,will only carry this data
插入列级容器,Insert column-level container
顶级选项的名称,The name of the top-level option
如表单,such as the form
方便生成数字类的控件,Controls that are convenient for generating digital classes
上面例子我们实现了这个逻辑,In the example above we implemented this logic
会自动清除浏览器中当前表单的缓存数据,Will automatically clear the cached data of the current form in the browser
就是靠这个生成的,generated by this
除了可以用来展现表格类型的数据,In addition to data that can be used to display table types
定兴县,Dingxing County
也销毁了,also destroyed
提交地址,submit address
怀化市市辖区,District of Huaihua City
控制输入范围,Control input range
可以只设置,can only set
提交不关闭,Submit does not close
南宫市,Nangong
调用成功后执行,Execute after successful call
当为水平模式时,when in horizontal mode
若开启,if open
请输入关键字,Please enter key words
用做表单中的选择操作,Used for selection operations in forms
泰安乡,Tai'an Township
是否只显示图标,Whether to show only icons
配置前景色,Configure the foreground color
命中的位置,hit position
荔城区,Licheng District
请引用这个,please cite this
对话框,dialog box
点击上传,Click to upload
的文本框中,in the text box of
限制只能选择预设,Restricted to only select presets
临城县,Lincheng County
可以通过以下配置修改,Can be modified by the following configuration
去掉,remove
是否可快速搜索,Is there a quick search
左侧选项渲染模板,Left option rendering template
组件属性表,Component property sheet
开启后需通过,"After opening, you need to pass"
支持交互,support interaction
接口返回的数据也是一样,The data returned by the interface is the same
组合类型内联,Composite type inline
优先渲染默认的顺序,Prioritize the default order of rendering
牡丹区,Peony District
后壁区,posterior wall area
缙云县,Jinyun County
这里会有值,there will be value
最高气温,maximum temperature
的形式不支持快捷键,The form does not support shortcut keys
匹配结尾,match ending
请考虑,please consider
还有其他格式,there are other formats
来联动时比较特殊,It's special when it comes to linkage
当成,as
默认展示的是,"By default, the"
片段,fragment
请简单描述其他你可以接受的效果,Please briefly describe other effects that are acceptable to you
警告,warn
主要是因为后面需要反向遍历才能动态删数据,Mainly because the reverse traversal is required later to dynamically delete data
可能被嵌入到页面中,may be embedded in the page
取值标识,value identifier
配置里设置的,set in configuration
龙马潭区,Longmatan District
居左,left
变量也会被删除掉,Variables are also deleted
支持添加条件,Support for adding conditions
很少浏览器支持,Few browsers support
需要刷新的目标组件名字,The name of the target component that needs to be refreshed
经过数据映射后变成,After data mapping becomes
显示不同样式,show different styles
是否在倒计时,Is it counting down
单选或者多选,single or multiple choice
重名插件检测,Duplicate plugin detection
自定义提示文字,Customize prompt text
并且配置颜色,And configure the color
中核心组件之一,One of the core components in
外观,Exterior
只需要将,Just put
的平面墨卡托坐标,Plane Mercator coordinates of
则为导航加一个自增,Then add an auto-increment for the navigation
这个接口的返回格式可以是两种,The return format of this interface can be two
配置该,configure the
展示数据,display data
热销,sell like hot cakes
只允许单个面板展开,Only allow a single panel to expand
不是新的组件面板,not new components panel
默认字体,default font
比率不对时的提示文字,Prompt text when the ratio is wrong
文件加载器默认是直接读取,The file loader defaults to reading directly
钟山县,Zhongshan County
默认插入到父节点的,By default inserted into the parent node's
或者通过,or via
缺口位置,Notch location
这里设置列的,set column here
支持相对写法如,Support relative writing such as
新增索引,new index
采购单,Purchase Order
恒山区,Hengshan District
用来提交的时间格式,The time format to submit
它将帮你定位到当前操作行,It will help you locate the current operation row
作为表单项,as a form item
青阳县,Qingyang County
并返回,and return
右侧结果标题,Right Result Title
渲染批量操作按钮,Render bulk action buttons
新增选项表单弹框的默认配置如下,The default configuration of the new option form pop-up box is as follows
非日期类组件使用,Use of non-date components
只提交父节点数据,Only submit parent node data
内容较多会将内容区也撑开,More content will expand the content area
固定表头,fixed header
显示序号,display serial number
汉阳区,Hanyang District
那个去处理了,that's dealt with
安次区,Anji District
避免数据域不同导致的解析错误问题,Avoid parsing errors caused by different data fields
理论上来说,In theory
内容区包裹标签,Content area wrapping label
当没有设置,when not set
大框,big frame
重置功能,reset function
值时初始加载,value initially loaded
为了保持对齐也会留空,Also left blank for alignment
值不包含子节点值,Value does not contain child node values
而不是默认的,instead of the default
如果配置成,If configured as
颜色码,color code
主轴排列方向,Spindle alignment direction
库,library
这是内容区,This is the content area
静态,static
因此可以支持不规则的数据格式,"Therefore, irregular data formats can be supported"
自定义角标尺寸,Custom corner mark size
配置方式有两种,There are two configuration methods
同江市,Tongjiang City
时间选择器,time picker
第一项的内容,The content of the first item
是否滑动切换只在移动端生效,Whether the sliding switch is only effective on the mobile terminal
会优先使用,Will give priority to use
方便查看最新日志内容,Easy to view the latest log content
下,Down
天,sky
允许添加的,allowed to add
或者用免费的,or use the free
设置文本卡片,set text card
如果想通过,if you want to pass
有个特殊情况是,There is a special case is
不能及时获取任务状态,Unable to get task status in time
文档是按,Documentation is by
接口动态创建导航,Interface dynamically creates navigation
补充空白,Fill in the blank
整数,integer
如果你想自己控制发送的数据,If you want to control the data sent by yourself
选项卡索引,tab index
有时候有些包括是需要其他条件的,Sometimes some inclusions require other conditions
更新按钮图标,update button icon
触发了,triggered
左侧固定宽度,fixed width left
就能自定义,can customize
表单项控件下方浅色文字描述,Light text description below the form item control
可在,available at
保存成功时提示,Prompt when saving is successful
图表类型,chart type
增删都在,additions and deletions are in
你打开了模态弹窗,You opened a modal popup
东港市,Donggang City
当阳市,Dangyang
能够生成对应的配置面板,Can generate the corresponding configuration panel
庆阳市,Qingyang City
都是从,are from
因为还能通过,because you can still pass
莱山区,Laishan District
悬浮行操作按钮组,Floating row operation button group
它的返回值类似如下,Its return value is similar to the following
优先级逻辑,priority logic
可取值,Possible value
单元格宽度不一致,Inconsistent cell width
宁河区,Ninghe District
支持勾选,Support check
直接渲染,direct rendering
年月日时分选择,"Year, month, day and time selection"
展示已选择节点的祖先节点的文本信息,Display the text information of the ancestor node of the selected node
圆周率,PI
后使用,after use
多选时显示大纲面板,Show outline panel on multiple selection
是否默认全选中所有值,Whether to select all values by default
其实不支持,Actually do not support
组件默认支持的列配置,The column configuration supported by the component by default
长乐区,Changle District
默认一开始其实显示,"By default, it actually displays at the beginning"
避免能渲染和导出的不一致,Avoid rendering and exporting inconsistencies
就能改变颜色透明度,can change the color transparency
子菜单的位置,position of the submenu
具体的页面配置也支持属性结构,Specific page configuration also supports attribute structure
输入框附加组件,input box add-on
这是节点在初始化的时候执行的函数,This is the function executed when the node is initialized
判断当前元素是否为特殊布局元素,Determine whether the current element is a special layout element
可指定标签展示的位置,You can specify where the label will be displayed
但是当变量字段过多的时候,But when there are too many variable fields
用户是否启用了,Has the user enabled
销毁所有子元素的,destroys all child elements of
忽略注释,ignore comments
请从左侧组件面板中点击添加新的元素,Please click Add New Element from the left component panel
来接管文件上传,to take over the file upload
判断是否是字符串类型,Determine whether it is a string type
就刷新,just refresh
级颜色,grade color
透明度,transparency
新界,New Territories
自动开启,automatically open
浦东新区,Pudong New Area
这里使用代码来直接生成内容,Use code here to directly generate content
样式集,style set
注册自定义类型,Register a custom type
链接在鼠标移上去的颜色,The color of the link when the mouse is over
的值发生变化并同步到右侧动作表,The value of is changed and synchronized to the right action sheet
主要是为了不要重新生成,Mainly to not regenerate
记录取消器,record canceller
来一个常见例子,Let's take a common example
不要改名或参数,Do not rename or parameter
结尾时,at the end
多媒体区域,multimedia area
被移除的文件,removed file
显示左侧组件面板,Show Left Components Panel
匹配,match
属性可以出现在配置中的任意地方,Properties can appear anywhere in the configuration
简单走势图,simple chart
在当前选中元素插入或追加新的元素,Insert or append a new element to the currently selected element
深水埗区,Sham Shui Po District
默认把第一行展开,Expand the first row by default
第三层,the third floor
不设置的话每条都可选中,"If not set, each item can be selected"
是取不到的,is not available
组件间通信,Communication between components
工作原理,working principle
文字字体的风格,style of text font
指定删除哪一行数据,Specify which row of data to delete
开关文字,switch text
区分一下广播事件,Differentiate between broadcast events
组件时,component time
快速搜索,fast Search
第一列没内容,The first column has no content
获取事件描述文案,Get event description copy
玖,nine
来决定子组件中的,to determine the
当前行索引,current row index
例子,example
如果只有一个成员,if only one member
所以只要会写,So as long as you can write
启用与禁用,enable and disable
连江县,Lianjiang County
弹出树型选择框进行选择,Pop-up tree selection box for selection
弹框内容,popup content
直接隐藏掉前缀,directly hide the prefix
浮层自定义样式,Floating layer custom style
这里的表单项可以配置多个,The form items here can be configured with multiple
是否为瀑布流布局,Whether it is a waterfall layout
下拉框与输入框联动,Linkage between drop-down box and input box
是否将各个信息拼接成字符串,Whether to concatenate each information into a string
内容区类名,Content Area Class Name
太湖县,Taihu County
转回角度,turn back angle
武汉市,Wuhan
基础间距,Basic spacing
搜索框占位文本,Search box placeholder text
分块上传需要配置三个接口来完成分别是,Multi-part upload needs to be configured with three interfaces to complete:
隐按钮,hidden button
更新配置,update configuration
采购人,Purchaser
搭建较为复杂界面的例子,Example of building a more complex interface
安图县,Antu County
混淆,to confuse
里港乡,Ligang Township
中返回了数据,returned data in
折叠状态改变,fold state change
替代,replace
日期类组件要支持,Date class components need to support
铁岭县,Tieling County
估计是时间太短,It is estimated that the time is too short
猇亭区,Xiaoting District
来定位,to locate
名称输入框占位文本,Name input box placeholder text
一次性加载,one-time loading
需要重新设置下,Need to reset
起点在下沿,starting point at the bottom
禄丰县,Lufeng County
稷山县,Jishan County
寮步镇,Liaobu Town
卫辉市,Weihui City
视频加载失败,Video failed to load
配置状态,configuration status
可以设置,can be set
外部属性,external attributes
后才会显示出来,will be displayed after
支持深度,support depth
源组件所在数据域,The data field where the source component resides
因此它还能放在表单,so it can also be placed on the form
襄垣县,Xiangyuan County
对页面功能的提示说明,Tips for page functions
的简化版,simplified version of
若给您造成不便,If you are inconvenienced
添加一个操作对应的添加一个按钮就行了,Add an operation corresponding to add a button on the line
巴彦淖尔市,Bayannur City
翼城县,Yicheng County
继承,inherit
里面定义,defined inside
当前在哪个,Where are you currently
自动给拖入的区域添加,Automatically add to the dragged area
属性值是否变化,Whether the attribute value changes
父级节点,parent node
文件格式,file format
避免高度导致撑开父节点,Avoid the height causing the parent node to be stretched
基于大模型的,Large model based
样式控制,style control
字段配置的宽度,The width of the field configuration
滚动内容需要左移,Scroll content needs to move left
更多示例请查看,For more examples see
新版配置面板空隙在子组件中,The new configuration panel gap is in the child component
图表,chart
是否下拉展示可赋值属性,Whether to drop down to display assignable attributes
所以自动加个时间戳,So automatically add a timestamp
让默认值支持表达式,Let default values support expressions
分钟,minute
城市选择器,city selector
还能支持数据映射中的各种过滤器,Also supports various filters in the data map
